Position,Full_name,Gender,Date_Of_Birth,Country,Card_Type,Balance,Mortgage,Car_maker
29,Bear Meardon,Male,12/1/1990,Saudi Arabia,jcb,$43068.65,false,Saab
30,Abrahan Decaze,Male,2/13/1991,Philippines,mastercard,$32732.66,true,Mazda
31,Wake McKall,Male,7/22/1980,Indonesia,jcb,$16432.45,true,Rambler
32,Duffy Raun,Male,9/12/1981,China,maestro,$69564.89,true,Mercedes-Benz
33,Gratia Tirrey,Female,2/6/1995,Paraguay,jcb,$61939.93,true,Chevrolet
34,Rinaldo Markl,Male,7/7/1981,Nepal,jcb,$39325.07,true,Holden
35,Barbi Immings,Female,10/9/1971,China,switch,$64556.29,false,Ford
36,Bev Randle,Male,10/29/1980,Spain,jcb,$24082.50,false,Subaru
37,Timmy Good,Female,12/10/1993,Morocco,jcb,$52560.46,false,Mercury
38,Maura Alvy,Female,12/14/1974,Indonesia,jcb,$19940.12,true,Chevrolet
39,Hercules Murney,Male,11/13/1973,Indonesia,switch,$88049.70,false,GMC
40,Alard Lowcock,Male,4/6/1976,Russia,jcb,$13652.54,false,Toyota
41,Nikaniki Mandy,Female,2/12/1983,Sweden,mastercard,$87316.98,true,Hyundai
42,Flss Musslewhite,Female,9/13/1985,Colombia,diners-club-carte-blanche,$349.22,false,Audi
43,Alvis Coupe,Male,8/24/1995,Uganda,jcb,$83509.66,false,Cadillac
44,Meaghan Van der Son,Female,6/25/1999,Thailand,china-unionpay,$41116.95,false,Dodge
45,Inesita Rantoul,Female,5/6/1996,Netherlands,jcb,$62416.72,false,Audi
46,Daria Saura,Female,11/18/2000,China,diners-club-enroute,$24643.64,false,Mitsubishi
47,Claus Brewin,Male,2/16/1987,China,diners-club-us-ca,$16549.46,true,Pontiac
48,Anselma Van T'Hoog,Female,9/26/1994,Russia,visa-electron,$68865.72,true,Jaguar
49,Delia Warre,Female,11/20/2000,Syria,americanexpress,$93137.60,true,Acura
50,Whitaker Goodright,Male,4/1/1977,Indonesia,mastercard,$97319.01,true,Lexus
51,Vin Leathem,Male,4/2/1975,China,diners-club-enroute,$25228.98,false,Chevrolet
52,Bliss Dibsdale,Female,5/4/1990,Russia,jcb,$44247.03,false,Lexus
53,Jillian Levin,Female,12/31/1993,Chile,bankcard,$35131.29,false,Mercedes-Benz
54,Benson Wellan,Male,10/26/1999,Argentina,switch,$67717.67,false,Lincoln
55,Patin Hapgood,Male,2/23/1976,Indonesia,jcb,$42102.23,true,Volkswagen
56,Quentin Beckitt,Male,7/28/1996,Brazil,jcb,$65312.98,false,Toyota
57,Nancee Cooley,Female,2/25/1988,Indonesia,laser,$81231.25,true,Volkswagen
58,Klarrisa M'Quharge,Female,1/22/1996,China,jcb,$24925.83,false,Chevrolet
59,Alta Hinstridge,Female,10/15/1985,Denmark,jcb,$32889.73,false,Pontiac
60,Chicky Giacovetti,Female,1/4/1996,Portugal,switch,$587.54,false,GMC
61,Helsa Mylchreest,Female,12/4/1991,Afghanistan,mastercard,$8824.47,false,Mercedes-Benz
62,Bessie Feaks,Female,2/9/1982,Poland,jcb,$48821.85,true,Ford
63,Juditha Helix,Female,9/14/1986,Canada,jcb,$97962.63,false,Subaru
64,Rochelle Heazel,Female,8/17/1995,Sweden,jcb,$98807.52,false,Chevrolet
65,Georgine Bleackly,Female,3/22/1976,Poland,diners-club-international,$37874.47,false,GMC
66,John Loade,Male,2/7/1985,Indonesia,mastercard,$1518.42,true,Dodge
67,Ilsa Rushsorth,Female,1/1/1986,France,maestro,$37155.11,false,Mitsubishi
68,Artus Chiddy,Male,10/8/1973,Philippines,mastercard,$51191.64,false,Mercedes-Benz
69,Obadiah Murphy,Male,8/30/1984,China,visa,$91248.34,false,Mercedes-Benz
70,Cari Jeandel,Female,8/9/1991,Ukraine,china-unionpay,$24493.68,true,Pontiac
71,Myrtie Bang,Female,3/13/1982,China,maestro,$66783.10,false,Aston Martin
72,Ambros Shimoni,Male,11/16/2000,Ethiopia,diners-club-us-ca,$11000.13,false,Infiniti
73,Ethan Kretchmer,Male,4/20/2000,Sweden,china-unionpay,$82568.60,false,Subaru
74,Robb Neaves,Male,3/24/1973,Indonesia,jcb,$57844.65,false,Volkswagen
75,Martie Cubbit,Female,8/21/1989,Honduras,jcb,$97432.04,false,GMC
76,Burtie Leser,Male,3/28/1974,Poland,switch,$39013.19,false,Chevrolet
77,Job Doudney,Male,11/27/1979,Nicaragua,jcb,$16061.47,true,Isuzu
78,Constancia Dyson,Female,4/30/1980,Sweden,jcb,$20270.26,true,Hyundai
79,Shawnee Yakubovics,Female,1/8/1980,Portugal,solo,$72478.25,true,Acura
80,Guss Gittoes,Male,4/6/1975,China,jcb,$40725.50,true,Buick
81,Bobine Overshott,Female,5/14/1997,Philippines,jcb,$39028.32,false,Pontiac
82,Thorsten Giorgio,Male,8/7/1975,France,bankcard,$95979.76,false,Infiniti
83,Libbi Bettinson,Female,11/2/1987,China,americanexpress,$27185.00,true,Saab
84,Mal Leere,Male,3/20/1990,Mexico,china-unionpay,$52441.61,false,Suzuki
85,Egon Rosewall,Male,3/15/2000,Spain,diners-club-enroute,$90126.97,false,Chevrolet
86,Irving Rourke,Male,3/11/1988,Costa Rica,diners-club-international,$57306.98,false,GMC
87,Lea Recher,Female,9/23/1991,China,jcb,$67629.96,true,Buick
88,Normie Gytesham,Male,11/17/1992,Portugal,jcb,$70723.58,false,Lincoln
89,Godart Franzke,Male,11/15/1997,Indonesia,mastercard,$87478.60,true,Mitsubishi
90,Ailyn Keiling,Female,1/29/1985,China,jcb,$44651.54,true,Volkswagen
91,Nathaniel Adelsberg,Male,12/9/1986,China,americanexpress,$40847.89,false,Subaru
92,Madel Handscomb,Female,7/4/1996,Greece,americanexpress,$72556.94,false,Saab
93,Gennifer Fretter,Female,4/28/1973,Serbia,diners-club-us-ca,$76912.53,true,Chevrolet
94,Lee Hayler,Female,1/10/1982,Indonesia,jcb,$82088.95,false,Chevrolet
95,Jeanine Iiannoni,Female,3/20/1975,China,jcb,$85854.93,false,Acura
96,Dieter Grzelczyk,Male,2/22/1978,China,china-unionpay,$93468.18,true,Jeep
97,Zora Ragat,Female,9/9/1998,Russia,instapayment,$41885.89,false,Nissan
98,Jenn Beney,Female,7/22/1977,Ivory Coast,laser,$50805.00,false,Pontiac
99,Filia Tomowicz,Female,3/15/1980,China,jcb,$88911.25,false,Mercury
100,Alie Dowry,Female,4/18/1977,Bangladesh,jcb,$64076.19,true,Mercury
101,Zebedee Ambrogio,Male,7/25/1983,Russia,jcb,$41106.01,false,Land Rover
102,Oriana Diggons,Female,12/2/1978,Russia,jcb,$4844.42,true,Scion
103,Ramsey McDuffie,Male,4/7/1987,Chile,mastercard,$53499.34,false,Mitsubishi
104,Benji Shalloo,Male,10/22/2000,Portugal,jcb,$50083.04,false,Volvo
105,Patric Dalligan,Male,11/21/1983,France,laser,$65174.54,false,Mazda
106,Trude Pickin,Female,11/27/1978,Ethiopia,maestro,$2500.20,true,Dodge
107,Romola Hallsworth,Female,5/5/1972,Tanzania,jcb,$55657.39,false,Lamborghini
108,Layton Dack,Male,7/10/1993,Colombia,jcb,$14602.85,true,Dodge
109,Catha Tritten,Female,3/29/1989,Russia,visa,$73882.12,false,Isuzu
110,Katusha Pittendreigh,Female,7/17/1987,Greece,jcb,$79832.04,true,BMW
111,Alfie Revington,Male,2/14/1977,Sweden,jcb,$95201.98,true,Ford
112,Jud Tanslie,Male,4/21/1972,Mayotte,switch,$32449.39,true,Ford
113,Conn Blucher,Male,9/1/1992,Indonesia,visa-electron,$66087.43,false,GMC
114,Gates Ireson,Female,3/19/1992,Ukraine,china-unionpay,$28416.93,false,Volvo
115,Elfreda Gouldthorpe,Female,8/2/1985,Mongolia,china-unionpay,$89403.28,false,Subaru
116,Beau O'Shee,Male,5/19/1990,France,switch,$28413.79,false,Lotus
117,Marian Baston,Female,8/25/1988,Afghanistan,diners-club-carte-blanche,$39079.74,false,Chevrolet
118,Barbara Gilks,Female,10/28/1996,France,diners-club-enroute,$26677.34,false,Studebaker
119,Vassily Staton,Male,4/2/1979,China,diners-club-enroute,$65942.49,false,Subaru
120,Gottfried Skocroft,Male,3/8/1973,Philippines,mastercard,$26006.40,true,Ford
121,Roman MacGeaney,Male,11/4/1982,Russia,jcb,$18617.00,false,Mazda
122,Dona Vinden,Female,9/10/1976,Norway,diners-club-carte-blanche,$12505.06,true,Dodge
123,Jodie Peterffy,Male,9/30/1974,Finland,jcb,$77178.15,false,Toyota
124,Eydie Jenner,Female,1/31/1994,Armenia,jcb,$47096.56,true,Mazda
125,Inga Kenwin,Female,6/4/1971,China,china-unionpay,$94065.84,true,Pontiac
126,Warden Ferrandez,Male,5/26/1993,Jordan,jcb,$95302.56,true,Mazda
127,Bobby Pascoe,Female,10/2/1982,Sweden,jcb,$42323.35,false,Ford
128,Bethena Craufurd,Female,5/2/1996,Poland,jcb,$4074.05,true,Pontiac
129,Tabbitha Errichiello,Female,10/6/1997,Brazil,visa-electron,$30493.77,true,Audi
130,Catlin Hughson,Female,7/17/1988,Indonesia,maestro,$67333.48,false,Buick
131,Fae Kitter,Female,11/8/1977,South Sudan,mastercard,$40075.07,false,Ferrari
132,Emmott Olwen,Male,11/25/1997,Venezuela,jcb,$4089.50,true,Toyota
133,Bird Harrad,Female,3/6/1985,China,jcb,$57787.94,true,Pontiac
134,Brion Bowcher,Male,1/19/1997,Argentina,jcb,$27406.91,false,Lamborghini
135,Briana Leete,Female,3/17/1976,Brazil,jcb,$3698.25,true,Pontiac
136,Josee Habeshaw,Female,2/28/1991,Indonesia,visa,$70404.74,true,Dodge
137,Pamela Mafham,Female,9/21/1998,Peru,diners-club-us-ca,$24603.10,false,Volkswagen
138,Brent Sisse,Male,11/29/1992,Indonesia,jcb,$86427.45,false,Lincoln
139,Ivie Meaker,Female,11/24/1990,Russia,jcb,$33763.70,true,Cadillac
140,Laney Monroe,Female,9/10/1999,China,bankcard,$97998.50,false,Lincoln
141,Ave Hayford,Male,12/5/2000,Norway,americanexpress,$70322.66,false,Toyota
142,Palm Manns,Male,1/1/1972,Ireland,maestro,$5391.97,true,Volkswagen
143,Melantha Treweek,Female,1/5/1995,China,jcb,$71765.95,true,Chevrolet
144,Barret Ponder,Male,8/2/1977,El Salvador,china-unionpay,$47406.33,true,Ford
145,Woodrow Schnitter,Male,5/30/1994,Estonia,jcb,$62732.12,true,Chevrolet
146,Earlie Salt,Male,12/14/1975,China,jcb,$15055.21,true,Chevrolet
147,Philip Exell,Male,11/15/1987,France,mastercard,$68489.43,false,Isuzu
148,Parrnell Faye,Male,4/12/1987,Brazil,maestro,$31527.46,true,Mazda
149,Anton Thominga,Male,10/25/1994,Brazil,diners-club-enroute,$53652.03,true,Pontiac
150,Pernell Djordjevic,Male,10/21/1971,China,jcb,$62378.99,true,Lexus
151,Terrijo Rosenfield,Female,1/30/1980,Albania,jcb,$72250.48,false,Lexus
152,Melloney Pohlak,Female,3/24/1980,Bangladesh,mastercard,$5951.96,false,Chevrolet
153,Richmond Hess,Male,9/4/1991,United States,jcb,$67089.67,false,Pontiac
154,Anjela Skirven,Female,12/30/1972,Guatemala,jcb,$44994.70,true,Chevrolet
155,Taddeo Losebie,Male,5/14/2000,United States,jcb,$31017.53,true,Acura
156,Genevra Fleis,Female,9/5/1986,Indonesia,jcb,$61310.80,true,Dodge
157,Moira Incogna,Female,11/16/1999,Ukraine,visa-electron,$16354.55,false,Toyota
158,Harlin Matys,Male,11/24/1971,France,solo,$44601.68,true,Isuzu
159,Thaxter Eyckelbeck,Male,6/29/1984,Sweden,mastercard,$63749.40,false,Chevrolet
160,Dionne Mitham,Female,1/6/1993,Japan,maestro,$4545.95,false,Mazda
161,Hamilton Addinall,Male,6/2/1973,Philippines,jcb,$14352.33,false,Mercedes-Benz
162,Edi Gors,Female,5/2/1976,Samoa,solo,$90394.49,false,Mitsubishi
163,Spenser Gilstin,Male,2/27/1984,China,diners-club-enroute,$60452.36,false,Ford
164,Phaedra Mephan,Female,12/12/1986,Italy,visa,$10024.16,true,Toyota
165,Herbie Somerscales,Male,5/26/1998,France,diners-club-carte-blanche,$44475.55,false,Chevrolet
166,Buddy Hulburt,Male,5/19/1982,Venezuela,mastercard,$99613.82,false,Ford
167,Osbourn Bulle,Male,11/27/1971,Argentina,china-unionpay,$25085.39,true,Toyota
168,Milty Francis,Male,2/5/1988,Czech Republic,mastercard,$99094.11,false,Pontiac
169,Rasia Vallentin,Female,11/9/1976,Vietnam,mastercard,$23652.70,false,Porsche
170,Rickie Windus,Female,12/4/1977,China,bankcard,$66258.28,true,BMW
171,Clemmie Stilly,Female,11/22/1973,Canada,jcb,$86527.14,true,Buick
172,Cash Goodere,Male,4/1/1979,China,jcb,$4175.01,true,Cadillac
173,Misti O'Tierney,Female,10/1/1980,Russia,laser,$72052.79,false,Plymouth
174,Elyse Sekulla,Female,11/6/1984,Argentina,diners-club-enroute,$59508.98,false,Nissan
175,Brianna Punchard,Female,7/19/1989,Brazil,mastercard,$92740.25,false,Alfa Romeo
176,Freda Furmage,Female,10/9/1988,Thailand,diners-club-enroute,$4815.01,true,Honda
177,Fallon Philpot,Female,7/28/1995,China,jcb,$99901.46,false,Aston Martin
178,Tate Gitting,Female,3/17/1983,Hungary,jcb,$26632.32,false,Plymouth
179,Marcia Jansen,Female,1/12/1984,Portugal,jcb,$84671.02,false,Spyker
180,Imogene Welfair,Female,9/30/1996,Indonesia,jcb,$24557.59,false,Merkur
181,Corabel Bartoleyn,Female,9/30/1972,Indonesia,jcb,$795.53,false,GMC
182,Emmy Emmines,Female,5/19/1980,China,visa,$46216.17,false,Chrysler
183,Trula Biggin,Female,10/8/1980,China,maestro,$67068.25,false,Buick
184,Alphonse Harsent,Male,4/9/1976,China,mastercard,$73363.92,true,Subaru
185,Dagny Anthony,Male,7/29/1991,Egypt,americanexpress,$76197.15,true,Chevrolet
186,Garik Hanham,Male,7/10/1976,China,mastercard,$79169.17,false,Chevrolet
187,Bertrando Braban,Male,2/10/1988,Vietnam,jcb,$40467.77,false,Acura
188,Mirabel Rhodes,Female,6/23/1991,Portugal,jcb,$44196.22,false,Saab
189,Claire Paskerful,Female,8/20/1982,Brazil,jcb,$25293.83,false,Honda
190,Rip Matzen,Male,2/16/1987,China,china-unionpay,$98211.70,false,Chevrolet
191,Ruthe Pettengell,Female,8/9/1979,China,switch,$41439.40,true,Dodge
192,Anny Lamy,Female,9/5/1996,Indonesia,bankcard,$43464.58,true,Jaguar
193,Polly Ambrosoni,Female,7/24/1975,Mexico,jcb,$99985.57,true,Aston Martin
194,Dona Garter,Female,6/18/1980,Poland,visa-electron,$87392.73,true,Pontiac
195,Joanna Mennell,Female,2/12/1979,Thailand,americanexpress,$67021.53,false,Chrysler
196,Maison Cridlin,Male,8/10/1982,Sri Lanka,solo,$75525.87,true,Pontiac
197,Carolynn Frankowski,Female,4/18/1982,Peru,maestro,$53302.11,true,Subaru
198,Jessee Raleston,Male,7/7/1999,Philippines,instapayment,$18565.20,false,Mitsubishi
199,Eamon Pickwell,Male,11/18/1983,United States,jcb,$19803.74,true,Cadillac
200,Wally Blenkensop,Female,6/29/1983,Jordan,maestro,$53766.23,false,Lincoln
201,Lindi Daffern,Female,9/24/1974,China,visa-electron,$89637.63,true,Mazda
202,Hyatt Joyner,Male,10/20/1984,Syria,jcb,$60136.71,false,Ford
203,Marjie Eakens,Female,7/15/1985,Philippines,visa,$13883.28,true,Honda
204,Booth Baildon,Male,12/5/1996,China,jcb,$17360.76,false,Saab
205,Arleyne Eslemont,Female,9/17/1995,Kenya,jcb,$36911.06,false,Volkswagen
206,Iseabal Burkhill,Female,8/16/1975,Costa Rica,americanexpress,$78516.05,false,Nissan
207,Issi Seward,Female,4/23/1990,Russia,jcb,$53258.25,true,BMW
208,Aland Dibdall,Male,9/7/1999,China,jcb,$80066.90,false,Lincoln
209,Syd Chipps,Male,4/24/1992,Mexico,jcb,$69979.37,true,Nissan
210,Marty Bradnocke,Male,10/7/1981,Indonesia,americanexpress,$77482.06,false,Acura
211,Terry MacBrearty,Female,8/31/1973,Netherlands,mastercard,$9202.61,false,Mercury
212,Wrennie Heggison,Female,5/30/1989,Peru,jcb,$63129.40,true,Scion
213,Saraann Blick,Female,12/14/1992,Albania,china-unionpay,$12494.72,false,Saturn
214,Culley Pyecroft,Male,5/9/1980,Bulgaria,jcb,$48456.57,false,GMC
215,Farica Duddy,Female,9/3/1999,Indonesia,jcb,$21781.64,false,Kia
216,Jilli Medcalf,Female,9/25/1974,Poland,china-unionpay,$50696.58,true,Plymouth
217,Gwendolyn Letty,Female,5/1/1976,Russia,jcb,$58205.33,false,Infiniti
218,Osmund Gerold,Male,12/25/1974,Bosnia and Herzegovina,jcb,$52402.85,true,Maserati
219,Lilias Tame,Female,12/24/1994,Czech Republic,jcb,$19895.89,false,Oldsmobile
220,Avis Brodbin,Female,10/9/1975,Uruguay,jcb,$64264.01,false,Acura
221,Zebulen Barsham,Male,10/30/1996,Russia,switch,$7872.79,true,GMC
222,Johannah Drewett,Female,11/7/1972,Kyrgyzstan,jcb,$60662.83,true,Volvo
223,Tomaso Jayme,Male,2/1/1977,China,visa-electron,$8010.21,true,Suzuki
224,Ax Phelps,Male,10/13/1977,Argentina,mastercard,$55354.38,false,Nissan
225,Barn McQuode,Male,4/25/1983,Portugal,jcb,$20127.35,false,Cadillac
226,Cello Spon,Male,9/24/1981,Indonesia,solo,$5840.32,true,Land Rover
227,Lucilia Tidmarsh,Female,3/4/1998,Mali,diners-club-carte-blanche,$23459.22,true,Honda
228,Jodi Rolstone,Male,10/17/1978,Iran,visa,$19823.85,true,Volkswagen
229,Hewitt Coltan,Male,10/3/1973,Finland,instapayment,$64493.47,false,Lotus
230,Garrett Cowpe,Male,10/13/1980,Thailand,switch,$94415.93,true,Jaguar
231,Koenraad Spandley,Male,9/22/1996,Indonesia,instapayment,$21450.83,true,Dodge
232,Celina Brand,Female,7/27/1992,China,visa-electron,$74892.96,true,Honda
233,Cassandre Altimas,Female,4/7/1971,Indonesia,visa,$69336.32,true,BMW
234,Paddy Colthard,Male,12/31/1996,Russia,switch,$81992.58,true,Hyundai
235,Ripley Cordelle,Male,11/24/1990,Indonesia,diners-club-us-ca,$40120.19,false,BMW
236,Elton Cometti,Male,8/10/1980,Estonia,visa-electron,$79958.73,true,Subaru
237,Anette Craise,Female,5/26/1993,China,diners-club-us-ca,$50192.82,true,Chevrolet
238,Shermy Wrout,Male,2/26/1980,China,diners-club-us-ca,$71322.30,true,Volkswagen
239,Mirabella Braxton,Female,2/8/1982,United States,jcb,$1843.91,false,Honda
240,Alano Drewett,Male,2/21/1979,Peru,americanexpress,$22617.09,false,Honda
241,Erich Haggarth,Male,9/27/1991,South Africa,jcb,$20205.26,false,Dodge
242,Yvor Levee,Male,2/12/1983,France,switch,$576.92,false,Nissan
243,Patrice Macak,Male,4/17/1998,Comoros,visa,$91365.97,false,Buick
244,Gilberte Udey,Female,6/24/1995,France,americanexpress,$88462.34,true,Mazda
245,Henryetta Ilyasov,Female,2/9/1980,Sweden,bankcard,$23460.96,true,Honda
246,Bendick Gleave,Male,8/20/2000,France,jcb,$40088.21,true,Chevrolet
247,Kala Tordiffe,Female,11/12/1990,Indonesia,jcb,$11876.55,false,Ford
248,Adelice Nodin,Female,10/14/1997,Poland,jcb,$61045.93,false,Honda
249,Abigael Webb-Bowen,Female,3/13/1986,Brazil,mastercard,$83556.14,true,Dodge
250,Adore Gemson,Female,6/26/1988,China,mastercard,$71352.97,true,Dodge
251,Mallory Getten,Male,4/4/1990,South Africa,visa-electron,$65484.25,true,Ford
252,Bertrando Jerram,Male,6/26/2000,Russia,jcb,$89809.13,true,Lincoln
253,Brynne Wardingly,Female,1/28/1987,China,maestro,$18083.17,true,Volkswagen
254,Dela Callway,Female,8/1/1971,Nigeria,jcb,$60753.99,true,Audi
255,Mattie Bulcroft,Male,1/15/1973,Indonesia,mastercard,$38051.07,false,Chevrolet
256,Anjela Nehl,Female,6/12/1981,Dominican Republic,diners-club-enroute,$24313.83,true,Ford
257,Rodina Lengthorn,Female,10/24/1995,China,diners-club-us-ca,$42801.74,false,Toyota
258,Mordy Moar,Male,11/11/1974,Poland,jcb,$13642.12,true,Volvo
259,Nikola Lemmanbie,Male,10/7/1981,Peru,jcb,$43854.63,false,Ford
260,Cori Fenelon,Male,1/13/1973,Indonesia,jcb,$56521.20,false,Chevrolet
261,Ogdan Terbrug,Male,11/25/2000,China,jcb,$58586.87,true,Dodge
262,Malynda Gait,Female,2/14/1976,China,diners-club-enroute,$42875.62,false,Subaru
263,Geneva Eliez,Female,6/4/1986,Bulgaria,jcb,$35919.82,true,GMC
264,Lynna Lewton,Female,9/6/1984,Portugal,maestro,$56021.34,true,Chevrolet
265,Malina Iltchev,Female,6/18/1972,Honduras,jcb,$80631.18,false,Dodge
266,Kaylee Leverentz,Female,8/28/1985,Mali,jcb,$13932.11,true,Dodge
267,Tamarra Halpin,Female,11/16/1995,Guatemala,americanexpress,$7608.58,false,Mercury
268,King O'Brien,Male,4/8/1989,Philippines,visa-electron,$78569.79,true,Chevrolet
269,Flossie Brockhouse,Female,8/11/1985,Ireland,diners-club-carte-blanche,$83598.15,true,Ford
270,Octavia Deppe,Female,12/11/1996,Mexico,maestro,$56153.59,false,Pontiac
271,Sheffie Cicco,Male,3/8/1982,Bulgaria,diners-club-enroute,$40613.85,false,Pontiac
272,Lacee Climie,Female,7/18/1982,Philippines,jcb,$8468.96,false,Pontiac
273,Eveleen Houtbie,Female,11/8/1987,Japan,mastercard,$4421.95,true,Saturn
274,Alfredo Tallboy,Male,1/23/1973,Brazil,visa-electron,$93941.73,true,GMC
275,Fedora Calverley,Female,11/11/1990,Nigeria,diners-club-enroute,$26786.32,true,Suzuki
276,Casie Evesque,Female,7/10/1986,Indonesia,jcb,$35381.76,false,Hyundai
277,Even Bolland,Male,9/30/1973,Indonesia,diners-club-enroute,$76694.63,true,Mercedes-Benz
278,Paulita Maple,Female,7/6/1985,China,jcb,$17488.65,false,Ford
279,Aindrea Tatum,Female,12/2/1985,Portugal,jcb,$1699.13,false,Lexus
280,Tudor Pond-Jones,Male,9/3/1978,China,visa-electron,$79149.83,false,Lexus
281,Edmon Cicerone,Male,6/22/1980,Greece,jcb,$60501.59,false,Ford
282,Elaina Bresland,Female,11/9/1977,Ukraine,jcb,$32736.41,true,Cadillac
283,Royall Biddles,Male,6/21/1987,Portugal,mastercard,$10258.06,false,Pontiac
284,Penn Fasler,Male,9/9/1999,Argentina,jcb,$68055.21,true,Pontiac
285,Say Chessun,Male,7/12/1997,Indonesia,jcb,$5823.49,true,Hyundai
286,Charmain Eidelman,Female,7/10/1983,Niger,switch,$57457.23,true,Isuzu
287,Helsa Brosini,Female,8/30/1981,China,jcb,$11060.12,true,Scion
288,Laverne Houseago,Female,6/2/1992,China,maestro,$52586.35,false,Ford
289,Gardy Kennicott,Male,4/5/1979,Brazil,laser,$82105.45,true,Acura
290,Mala Dryden,Female,8/3/1972,South Africa,jcb,$97816.95,false,Volkswagen
291,Mehetabel Jeffery,Female,3/23/1978,China,visa-electron,$17561.67,false,Mitsubishi
292,Audre Reston,Female,1/5/1972,French Guiana,jcb,$10699.07,true,Toyota
293,Cass De Cleyne,Male,8/2/1979,Canada,jcb,$25488.29,false,Acura
294,Sophi Tamlett,Female,10/19/1979,Indonesia,visa,$61595.89,true,Honda
295,Pancho Bladen,Male,12/26/1980,Ukraine,visa,$97894.06,false,Porsche
296,Kaila Tilsley,Female,4/19/1989,Japan,mastercard,$25962.59,false,Maserati
297,Armin Surphliss,Male,3/17/1994,South Korea,visa-electron,$882.45,false,Lincoln
298,Ewen Toe,Male,10/4/1999,Czech Republic,jcb,$94908.24,true,BMW
299,Flor Ghidotti,Female,8/1/1971,Philippines,visa-electron,$80092.10,false,Volkswagen
300,Melvin Kirmond,Male,3/2/1997,France,switch,$64299.23,false,Honda
301,Carlyle Dopson,Male,2/11/1975,Argentina,mastercard,$40568.61,false,Plymouth
302,Kelly Pigdon,Male,10/31/1993,Indonesia,solo,$40622.22,true,Mercedes-Benz
303,Nahum Kealey,Male,10/21/1974,Portugal,jcb,$83468.32,true,Lincoln
304,Kahaleel Lenihan,Male,4/14/1989,Norway,mastercard,$18984.87,false,Porsche
305,Abigail Radborn,Female,1/25/1993,China,switch,$52081.07,false,Pontiac
306,Kizzee Pinfold,Female,12/16/1994,Brazil,switch,$75293.74,false,Ford
307,Merle Debill,Male,4/2/1996,China,maestro,$32615.53,true,Toyota
308,Nataniel McGilben,Male,6/10/1975,China,jcb,$55840.88,false,BMW
309,Saidee Forten,Female,2/18/1978,Sweden,jcb,$51518.06,true,Chevrolet
310,Early Jex,Male,9/9/1978,United States,jcb,$19860.82,false,Ford
311,Maribeth Kerrey,Female,1/4/1984,Belarus,jcb,$7487.34,false,Lexus
312,Lemmie Bottomore,Male,10/10/1988,Tanzania,maestro,$86111.45,true,Hyundai
313,Janela Darington,Female,4/5/1971,China,jcb,$47034.28,true,Chevrolet
314,Adorne Cunde,Female,3/25/1977,France,diners-club-carte-blanche,$77590.39,true,Mitsubishi
315,Ola Lindemann,Female,4/28/1984,Colombia,jcb,$12466.35,true,Suzuki
